SourceID,TargetID,Relationship Strenght
6281,11430,42900%
6281,13008,42900%
5960,1112,42900%
5960,1585,42900%
5960,2123,42900%
5960,3572,42900%
5960,6231,42900%
5960,6770,42900%
5960,6776,42900%
5960,6872,42900%
5960,6950,42900%
5960,7096,42900%
5960,7683,42900%
5960,8268,42900%
5960,16989,42900%
5960,11399,42900%
5960,13008,42900%
7654,1112,42900%
7654,1585,42900%
7654,5722,42900%
7654,6213,42900%
7654,6469,42900%
7654,6638,42900%
7654,6770,42900%
7654,6776,42900%
7654,6872,42900%
7654,7243,42900%
7654,7683,42900%
7654,8268,42900%
7654,17186,42900%
7654,17183,42900%
7654,8941,42900%
7654,8961,42900%
7654,9378,42900%
7654,10110,42900%
7654,11399,42900%
7654,13008,42900%
1032,1112,42900%
1032,1585,42900%
1032,1660,42900%
1032,2153,42900%
1032,6770,42900%
1032,6776,42900%
1032,6872,42900%
1032,6950,42900%
1032,7243,42900%
1032,7683,42900%
1032,8268,42900%
1032,8269,42900%
1032,13008,42900%
3595,1112,42900%
3595,3481,42900%
3595,3572,42900%
3595,6638,42900%
3595,20814,42900%
3595,20824,42900%
9658,1112,42900%
9658,1585,42900%
9658,2123,42900%
9658,2153,42900%
9658,3572,42900%
9658,6770,42900%
9658,6776,42900%
9658,6872,42900%
9658,6950,42900%
9658,7683,42900%
9658,8268,42900%
9658,8269,42900%
9658,11399,42900%
9658,13008,42900%
2112,1112,42900%
2112,1262,42900%
2112,1585,42900%
2112,2123,42900%
2112,2153,42900%
2112,3572,42900%
2112,6770,42900%
2112,6776,42900%
2112,6872,42900%
2112,7683,42900%
2112,8268,42900%
2112,8941,42900%
2112,11399,42900%
2112,13008,42900%
12970,1112,42900%
12970,1585,42900%
12970,2153,42900%
12970,8268,42900%
12970,8941,42900%
12970,13008,42900%
12789,1112,42900%
12789,1585,42900%
12789,5734,42900%
12789,6638,42900%
12789,6770,30%
12789,8268,30%
12789,8269,30%
12789,8269,30%
12789,8941,30%
12789,13008,30%
2176,1112,30%
2176,6776,30%
2176,16334,30%
6894,1112,30%
6894,3572,30%
6894,6369,30%
6894,6770,30%
6894,6776,30%
6894,6872,30%
6894,6971,30%
6894,7418,30%
6894,7603,30%
6894,30000,30%
6624,1112,30%
6624,3651,30%
6624,5734,30%
6624,6770,30%
6624,11399,30%
11002,1182,30%
11002,2871,30%
11002,2874,30%
11002,15140,30%
11002,11670,30%
11437,1194,30%
11437,6950,30%
3211,15184,30%
3211,3482,30%
3211,3509,30%
3211,20656,30%
3211,20662,30%
3211,20664,30%
3211,22271,30%
3211,20653,30%
3211,20617,30%
3211,20634,30%
3211,22272,30%
3211,20618,30%
3211,20626,30%
627,1227,30%
1359,1331,30%
12784,1385,30%
12784,1590,30%
12784,18202,30%
4440,1507,30%
4440,7245,30%
4440,16847,30%
4440,16687,30%
4440,16964,30%
4440,17340,30%
4440,17196,30%
4440,12419,30%
11791,1507,30%
11791,10921,30%
11791,11786,30%
11791,11786,30%
3432,1508,30%
3432,3572,30%
3432,7028,30%
3432,7096,30%
3432,17787,30%
3397,1514,30%
3465,1523,30%
3465,6847,30%
3465,7756,30%
3465,21643,30%
3465,21597,30%
3465,21600,30%
3465,21602,30%
3465,21607,30%
3465,21658,30%
3465,21619,30%
3465,21635,30%
3465,21646,30%
3465,21646,30%
3465,9775,30%
3465,11786,30%
3465,12329,30%
8897,1523,30%
8897,18469,30%
8897,20500,30%
8897,21687,30%
8897,21800,30%
8897,8957,30%
6543,1523,30%
6543,1641,30%
6543,17370,30%
6543,16964,30%
6543,8957,30%
6543,12084,30%
6543,12084,30%
12091,1523,30%
12091,3493,30%
12091,22064,30%
12091,17370,30%
